               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  41,            0.029749,            0.029347,                   0,             0.92767,             0.85504,             0.92266,             0.47437,            0.038002,            0.008316,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.031131,             0.02917,                   0,             0.91029,             0.84667,             0.93619,             0.51687,            0.032969,           0.0083027,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.030279,             0.02941,                   0,             0.89368,             0.87333,             0.92897,             0.51934,            0.036711,             0.00831,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.029929,            0.028647,                   0,             0.94554,                0.86,             0.94339,             0.49189,            0.041433,           0.0081431,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.030197,            0.029094,                   0,             0.92487,             0.83333,             0.91945,             0.50729,            0.037087,           0.0091301,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.030199,              0.0294,                   0,             0.88166,             0.86667,             0.90458,             0.47902,            0.039269,            0.009236,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.029153,            0.029129,                   0,             0.86993,                0.88,             0.90414,             0.48293,            0.032921,           0.0085313,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.029204,            0.028302,                   0,             0.90312,             0.87006,             0.91302,             0.52383,            0.033954,            0.008634,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.030052,            0.028804,                   0,             0.90643,             0.89333,             0.91907,             0.52327,            0.033488,           0.0083008,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.029065,            0.027198,                   0,             0.88923,             0.86667,             0.90742,              0.5036,            0.034373,           0.0087029,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.028428,            0.027431,                   0,             0.93795,             0.89333,             0.93848,              0.4925,            0.041783,           0.0083703,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.028404,            0.026982,                   0,             0.93264,                0.88,             0.91201,             0.49769,            0.036997,           0.0083343,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.028984,            0.027692,                   0,             0.86088,                0.86,             0.91238,              0.4805,            0.038404,           0.0086048,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.028043,            0.027107,                   0,             0.84989,             0.83333,             0.88669,             0.47095,            0.035886,           0.0097436,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.027545,            0.027069,                   0,             0.92654,             0.86667,             0.92268,             0.50309,            0.037264,           0.0086831,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.028522,            0.027093,                   0,             0.97075,             0.88493,             0.94741,             0.52399,            0.038551,           0.0087119,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.028362,            0.027397,                   0,             0.91519,             0.88667,             0.91013,             0.51002,            0.037079,            0.009652,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.027359,            0.027215,                   0,             0.95018,             0.85333,             0.93519,             0.53074,            0.033494,           0.0085229,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.027835,            0.027318,                   0,             0.86078,             0.86562,             0.89466,             0.50832,            0.034031,           0.0084041,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.027927,             0.02811,                   0,             0.96198,             0.88667,             0.95041,             0.53978,            0.034256,            0.007856,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.027141,            0.026828,                   0,              0.8876,             0.87333,             0.92494,             0.48421,            0.036313,           0.0087372,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.027934,            0.026631,                   0,             0.93822,                0.88,             0.93528,             0.51336,            0.038463,           0.0082121,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.027203,            0.026767,                   0,             0.90278,             0.92863,             0.95904,             0.54237,            0.035777,           0.0077376,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,             0.02748,            0.026063,                   0,             0.90465,                 0.9,             0.92622,             0.52042,            0.035625,           0.0078372,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.026678,            0.025887,                   0,             0.90923,                 0.9,             0.93317,             0.53428,            0.034697,           0.0082004,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.027187,             0.02652,                   0,             0.93564,             0.87223,             0.93339,             0.54364,            0.032327,           0.0082855,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.026394,            0.026337,                   0,             0.89278,             0.91333,             0.93113,             0.52495,            0.036743,           0.0082188,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.026317,            0.026569,                   0,             0.94707,             0.87333,             0.95251,             0.54103,             0.03152,           0.0078861,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.026437,            0.025787,                   0,             0.95079,                0.86,              0.9486,             0.56153,            0.030378,           0.0083004,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.026898,            0.025691,                   0,             0.93027,             0.91333,             0.95476,              0.5384,            0.037656,           0.0085602,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.025816,            0.025111,                   0,             0.92749,             0.93801,             0.96168,             0.55919,            0.037105,            0.007744,                   0,            0.008614,            0.008614,            0.008614
                  72,             0.02647,            0.025799,                   0,             0.95643,             0.87816,             0.94914,             0.54702,            0.037408,           0.0083312,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.026723,            0.026234,                   0,             0.88588,                0.92,             0.95698,             0.54382,            0.034795,            0.007868,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.025504,            0.025297,                   0,             0.91657,                0.86,             0.92837,             0.54989,            0.036185,           0.0085986,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,             0.02587,            0.025726,                   0,             0.91981,             0.91765,             0.94615,             0.54736,            0.038815,            0.007948,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.025308,            0.025146,                   0,             0.96403,             0.89325,             0.94873,             0.53966,            0.037559,           0.0081775,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.025866,            0.025085,                   0,             0.91496,             0.93248,             0.95952,             0.53994,            0.038005,           0.0078353,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.025811,            0.025327,                   0,             0.95116,             0.90881,             0.94898,             0.53074,            0.034551,           0.0080247,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.025029,            0.025474,                   0,             0.92331,                0.92,             0.94009,             0.57201,            0.031292,           0.0077694,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,             0.02553,            0.024828,                   0,             0.91776,             0.89333,             0.93064,             0.53757,            0.034401,           0.0078594,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.025201,            0.025321,                   0,             0.91536,                 0.9,             0.94823,             0.54442,            0.031232,           0.0086548,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.025405,            0.024388,                   0,             0.90627,             0.90241,             0.92841,             0.53842,             0.03318,           0.0083563,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.025111,            0.024658,                   0,              0.9188,                 0.9,             0.94163,             0.55767,            0.034208,           0.0079161,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.024895,            0.024448,                   0,             0.92837,              0.9505,             0.95674,             0.56558,             0.03382,           0.0075796,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,             0.02567,             0.02423,                   0,             0.95001,              0.8869,             0.93692,             0.54833,            0.035695,           0.0082669,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.024627,            0.024378,                   0,              0.9242,                0.92,             0.96261,             0.56544,             0.03674,           0.0081419,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.024392,            0.024374,                   0,             0.94276,             0.87845,             0.93996,             0.56312,             0.03575,            0.008005,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,             0.02396,            0.024471,                   0,             0.94416,             0.90667,             0.94014,             0.55633,            0.035036,           0.0079614,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.024141,            0.024059,                   0,             0.91463,                 0.9,              0.9409,             0.55518,             0.03254,           0.0076912,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.024056,            0.024918,                   0,             0.95766,             0.90465,             0.95756,             0.55545,            0.032368,           0.0079237,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.024369,            0.024481,                   0,             0.96539,             0.92973,             0.95308,             0.57141,            0.032183,           0.0076948,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.024119,            0.024237,                   0,             0.93635,                0.88,             0.94236,             0.55177,            0.035149,           0.0086993,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.024361,            0.024449,                   0,             0.92074,             0.91333,             0.96407,              0.5738,            0.034953,           0.0077764,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.024196,             0.02368,                   0,             0.94352,             0.89333,             0.93553,             0.55738,            0.035155,           0.0083674,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.024027,            0.023397,                   0,             0.96507,             0.92083,             0.96302,             0.59634,            0.033119,           0.0075572,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.023436,            0.023037,                   0,             0.92538,             0.90937,             0.94948,              0.5946,            0.033645,           0.0076236,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.023321,            0.023594,                   0,             0.94335,             0.88806,             0.92834,              0.5632,            0.034939,            0.007789,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.024181,            0.023264,                   0,             0.95431,             0.90667,             0.93647,             0.53277,            0.038377,           0.0081766,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.023982,            0.023458,                   0,             0.92902,                 0.9,             0.94428,             0.57106,            0.030846,           0.0082017,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.023396,            0.023122,                   0,             0.93917,             0.88667,             0.94025,             0.58729,            0.030546,           0.0080684,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.023936,            0.023931,                   0,             0.94032,             0.88667,             0.94284,             0.58088,            0.032036,           0.0082429,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.023682,             0.02343,                   0,             0.96182,                0.88,             0.95102,             0.55362,             0.03478,           0.0082076,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.023531,            0.023964,                   0,             0.95858,             0.92572,             0.95985,              0.5689,            0.033712,           0.0077019,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.023276,            0.023214,                   0,             0.94839,             0.87333,             0.93941,             0.55489,            0.032859,           0.0081672,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.023114,            0.023701,                   0,             0.94587,             0.93205,              0.9499,             0.56388,            0.032921,           0.0079058,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.023005,            0.023658,                   0,             0.96361,             0.88279,              0.9316,              0.5751,            0.033389,           0.0084041,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.023173,            0.023373,                   0,             0.93788,              0.9059,             0.93564,             0.54619,            0.035096,           0.0082837,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.022625,            0.023461,                   0,             0.93307,             0.92934,             0.95304,             0.57559,            0.030191,           0.0077123,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.023514,            0.023253,                   0,             0.95564,             0.91333,             0.95342,             0.57648,            0.034332,           0.0080259,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,             0.02267,            0.023602,                   0,             0.96356,             0.88143,             0.95344,             0.56938,            0.033256,           0.0081978,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.022327,            0.022248,                   0,             0.96429,                0.92,             0.95147,             0.57275,            0.032953,           0.0081358,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.022571,            0.023084,                   0,             0.97244,             0.88667,              0.9519,             0.58343,            0.030868,           0.0075171,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.022739,            0.023083,                   0,             0.95073,             0.91333,             0.94242,             0.55545,            0.037052,           0.0083079,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.022492,            0.022325,                   0,             0.94986,             0.91333,             0.94882,             0.57707,            0.036462,           0.0083642,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.022528,            0.023071,                   0,             0.92613,             0.91937,             0.94775,             0.58102,            0.036127,           0.0078696,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.022782,             0.02316,                   0,             0.93474,             0.89333,             0.94564,             0.59032,            0.032139,            0.008675,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.022184,            0.022519,                   0,             0.93432,             0.91333,             0.94205,             0.56429,            0.034055,           0.0083312,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.022642,            0.022511,                   0,             0.92664,             0.91333,             0.95077,             0.57097,            0.031971,           0.0079535,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.022596,            0.022312,                   0,             0.96501,             0.91921,              0.9525,             0.57692,             0.03309,           0.0080546,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,             0.02259,            0.022318,                   0,             0.93149,             0.90646,             0.93653,              0.5641,            0.034676,           0.0087534,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.022084,            0.021873,                   0,             0.96524,             0.92555,             0.94677,             0.56077,             0.03573,           0.0083476,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.022594,             0.02208,                   0,             0.96386,              0.8889,             0.95161,             0.55675,            0.035521,           0.0080935,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.021778,            0.022232,                   0,             0.94396,             0.89832,             0.93423,             0.58676,             0.03424,           0.0082921,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.022038,            0.023038,                   0,             0.94569,                0.88,             0.92834,             0.57867,            0.033916,           0.0080649,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.021569,            0.021239,                   0,             0.94256,             0.86667,             0.91813,              0.5519,            0.035578,           0.0085717,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.021842,            0.021364,                   0,              0.9246,             0.89931,             0.93765,             0.57882,             0.03315,           0.0081478,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.021775,            0.022284,                   0,             0.95417,             0.88667,             0.92904,             0.54195,            0.034318,           0.0081992,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.021927,             0.02209,                   0,             0.97784,             0.90667,             0.94428,             0.56712,             0.03395,           0.0077294,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.022129,            0.022189,                   0,             0.95634,             0.87625,             0.94229,             0.59243,            0.034689,           0.0083853,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.021519,            0.022141,                   0,              0.9576,             0.90343,             0.94044,             0.58231,            0.035571,           0.0085387,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.021586,            0.021994,                   0,             0.97066,             0.89333,             0.94231,             0.57007,            0.035853,           0.0085664,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.021612,            0.021474,                   0,             0.96215,             0.90667,             0.93945,             0.57466,            0.037956,           0.0091692,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.021697,            0.022413,                   0,             0.97099,             0.89247,             0.95684,             0.59725,            0.034957,           0.0085852,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.021829,            0.022466,                   0,             0.98518,             0.88659,             0.96786,             0.60805,            0.035064,           0.0081253,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.020946,            0.021015,                   0,             0.98286,             0.88667,             0.94663,             0.58988,            0.035674,           0.0091506,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.021335,            0.021246,                   0,             0.97012,             0.89333,             0.94258,             0.57535,            0.038087,           0.0087652,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.021326,            0.021469,                   0,             0.93698,              0.8921,             0.93075,             0.56428,            0.035172,           0.0091823,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.021226,            0.021395,                   0,             0.97131,             0.90297,             0.94808,             0.57098,             0.03518,           0.0089476,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.021194,            0.020771,                   0,             0.98509,             0.91333,             0.94857,             0.57336,            0.034521,           0.0087699,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.020669,              0.0219,                   0,             0.94702,             0.87333,             0.93613,             0.58647,            0.032774,           0.0090063,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.021615,            0.021418,                   0,             0.94459,             0.89333,             0.95104,              0.6021,            0.031909,            0.009012,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.021258,            0.021226,                   0,              0.9469,             0.89333,             0.94581,             0.57111,            0.034423,           0.0090921,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.020804,            0.021113,                   0,             0.96292,             0.86568,             0.92522,             0.57157,            0.034311,           0.0097016,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.021117,            0.021479,                   0,             0.95129,             0.91145,             0.94652,             0.59935,            0.031944,             0.00868,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.020959,            0.021026,                   0,             0.95229,                0.88,             0.94239,             0.59625,            0.032681,           0.0085671,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.020708,            0.021039,                   0,             0.94143,                0.88,             0.93732,             0.58721,            0.030805,           0.0091356,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.020781,            0.021472,                   0,             0.94476,             0.91208,             0.95774,             0.58716,            0.032254,           0.0086137,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,             0.02078,            0.020768,                   0,             0.93399,             0.89333,             0.92545,             0.54813,            0.037364,           0.0086734,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.020809,            0.020594,                   0,              0.9413,             0.90667,             0.93296,             0.57728,            0.035163,           0.0084456,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.020767,            0.021027,                   0,             0.95857,             0.92538,             0.95262,             0.61039,            0.032245,           0.0077264,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.020679,            0.021019,                   0,             0.92556,             0.91182,             0.93775,             0.57919,            0.034076,           0.0081139,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.020349,            0.020697,                   0,             0.94331,             0.88667,             0.94893,             0.57577,            0.036701,           0.0088135,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.020995,            0.020716,                   0,              0.9397,                0.88,             0.94047,             0.58645,            0.032404,           0.0089171,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.020465,            0.021146,                   0,             0.98879,                0.92,             0.95069,             0.60494,            0.030958,           0.0087252,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.020499,            0.021316,                   0,             0.94805,             0.89333,              0.9424,              0.5703,            0.034062,           0.0094023,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,            0.020685,            0.019737,                   0,             0.93633,                 0.9,              0.9322,             0.57123,            0.030859,           0.0087413,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.020669,             0.02114,                   0,              0.9373,             0.89697,              0.9412,             0.59499,            0.035743,           0.0083511,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.020376,            0.021279,                   0,             0.99055,             0.87333,             0.94541,               0.591,            0.033511,           0.0090228,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.019872,            0.020219,                   0,             0.94261,             0.89333,             0.94065,              0.5682,            0.033768,            0.008847,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.020317,            0.019935,                   0,             0.94521,             0.92003,             0.94614,             0.58663,            0.033451,           0.0091314,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.020423,             0.01999,                   0,             0.95427,                0.86,             0.93963,             0.58888,            0.031282,           0.0089859,                   0,            0.006832,            0.006832,            0.006832
                 162,            0.019958,             0.02072,                   0,              0.9567,             0.88372,             0.94061,             0.58562,             0.03406,           0.0083617,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,            0.020006,            0.020243,                   0,             0.96321,             0.90667,             0.95074,             0.60693,            0.032882,           0.0086992,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,            0.019804,              0.0209,                   0,             0.95094,             0.90447,             0.94947,             0.61593,            0.030674,             0.00845,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,            0.019502,            0.019607,                   0,             0.93614,             0.87951,             0.93415,             0.60192,            0.032647,           0.0088553,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,            0.019467,            0.020821,                   0,             0.97644,             0.88667,             0.94119,             0.60511,            0.032821,           0.0081228,                   0,            0.006733,            0.006733,            0.006733
                 167,            0.019707,            0.020237,                   0,             0.95829,             0.91897,             0.94465,             0.61046,            0.032171,           0.0081817,                   0,           0.0067132,           0.0067132,           0.0067132
                 168,            0.019888,            0.019988,                   0,             0.97139,             0.90543,             0.94857,             0.58505,            0.034491,           0.0084217,                   0,           0.0066934,           0.0066934,           0.0066934
